AsOfDate,Company,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GLBalance,iHUbBalance,BalanceDifference,MatchStatus
2023-01-25,00004,4574628,5008,ISO-4217,Deferred Costs,Deferred Costs,68012,111618,-43606,Break
2023-01-08,00006,3070372,1972,AFN,Deferred Costs,Deferred Costs,104990,60320,44670,Break
2023-01-04,00004,8728139,3014,AFN,Principal,Principal,113860,95264,18596,Break
2023-01-01,00005,4941629,6229,ISO-4217,Deferred Costs,Principal,109525,60509,49016,Break
2023-01-14,00003,7865478,4193,EUR,Principal,Deferred Costs,118993,97115,21878,Break
2023-01-16,00001,2018161,6910,ISO-4217,Deferred Costs,Deferred Costs,68186,32607,35579,Break
2023-01-15,00002,7276688,6847,ALL,Principal,Deferred Costs,105141,72261,32880,Break
2023-01-28,00003,1979697,5351,ISO-4217,Principal,Principal,48867,62019,-13152,Break
2023-01-26,00006,6045787,5336,ISO-4217,Deferred Costs,Deferred Costs,72349,65528,6821,Break
2023-01-21,00001,8872907,1715,EUR,Principal,Deferred Costs,42636,88136,-45500,Break
2023-01-15,00005,8731467,3789,USD,Principal,Deferred Costs,96661,62618,34043,Break
2023-01-16,00006,3888213,4636,USD,Deferred Costs,Deferred Costs,54396,96034,-41638,Break
2023-01-24,00001,7280350,3414,ALL,Principal,Deferred Costs,58580,41590,16990,Break
2023-01-07,00004,3532681,2843,INR,Deferred Costs,Principal,101249,115539,-14290,Break
2023-01-04,00006,8433756,4598,ISO-4217,Deferred Costs,Deferred Costs,76463,87819,-11356,Break
2023-01-30,00006,9394525,3770,ISO-4217,Deferred Costs,Principal,42844,92197,-49353,Break
2023-01-05,00002,4704056,5691,INR,Principal,Deferred Costs,48471,102736,-54265,Break
2023-01-28,00004,3904074,3441,INR,Principal,Principal,44346,82001,-37655,Break
2023-01-03,00005,5269731,5556,INR,Deferred Costs,Principal,61448,79178,-17730,Break
2023-01-30,00006,6737597,4011,USD,Principal,Deferred Costs,86332,92218,-5886,Break
2023-01-17,00006,4951993,5677,USD,Deferred Costs,Deferred Costs,73023,58729,14294,Break
2023-01-25,00001,3376092,1502,INR,Principal,Deferred Costs,117887,119936,-2049,Break
2023-01-02,00006,8591776,5074,ISO-4217,Deferred Costs,Deferred Costs,78324,36952,41372,Break
2023-01-23,00001,2109439,6850,AFN,Principal,Deferred Costs,77542,64537,13005,Break
2023-01-18,00006,2997679,1865,INR,Deferred Costs,Deferred Costs,85831,37122,48709,Break
2023-01-16,00001,6676687,3140,ISO-4217,Deferred Costs,Principal,95603,95350,253,Break
2023-01-18,00002,3756404,5034,INR,Deferred Costs,Deferred Costs,84418,84898,-480,Break
2023-01-26,00001,6308434,1124,INR,Deferred Costs,Deferred Costs,117858,68397,49461,Break
2023-01-17,00002,3394835,5283,EUR,Deferred Costs,Principal,84522,93687,-9165,Break
2023-01-25,00001,1657761,4320,EUR,Deferred Costs,Deferred Costs,114056,101879,12177,Break
2023-01-09,00004,3074501,6940,INR,Deferred Costs,Deferred Costs,53628,77281,-23653,Break
2023-01-16,00002,5320552,6087,AFN,Principal,Principal,107788,76079,31709,Break
2023-01-18,00005,1912427,5137,EUR,Principal,Principal,68461,59305,9156,Break
2023-01-12,00005,3644201,4447,USD,Principal,Principal,54433,84070,-29637,Break
2023-01-24,00002,8803241,5319,AFN,Deferred Costs,Deferred Costs,87206,68522,18684,Break
2023-01-12,00004,8724554,4878,USD,Deferred Costs,Deferred Costs,91345,86316,5029,Break
2023-01-01,00005,9722925,4082,ISO-4217,Deferred Costs,Principal,113763,36616,77147,Break
2023-01-19,00003,9488379,1852,USD,Principal,Deferred Costs,94575,30872,63703,Break
2023-01-28,00002,1248780,2153,INR,Deferred Costs,Principal,102916,87261,15655,Break
2023-01-04,00002,8364022,2118,ISO-4217,Principal,Deferred Costs,48237,81391,-33154,Break
2023-01-20,00001,3140349,1003,USD,Principal,Principal,83863,86639,-2776,Break
2023-01-12,00001,7802242,5209,INR,Deferred Costs,Principal,35729,32964,2765,Break
2023-01-17,00002,5740725,4808,USD,Principal,Deferred Costs,81307,95064,-13757,Break
2023-01-09,00002,7142509,5241,AFN,Deferred Costs,Principal,34744,113542,-78798,Break
2023-01-07,00004,4034846,2508,ISO-4217,Deferred Costs,Principal,74265,68793,5472,Break
2023-01-13,00003,4919669,4135,USD,Deferred Costs,Deferred Costs,86272,80725,5547,Break
2023-01-21,00006,5974918,5214,AFN,Principal,Deferred Costs,71551,55104,16447,Break
2023-01-07,00004,2506106,1343,USD,Deferred Costs,Deferred Costs,82385,48301,34084,Break
2023-01-06,00002,3267440,4793,ISO-4217,Principal,Principal,115797,41695,74102,Break
2023-01-11,00004,1512918,3127,AFN,Principal,Deferred Costs,96685,64381,32304,Break
2023-01-05,00003,5950864,6542,ALL,Deferred Costs,Principal,85528,93375,-7847,Break
2023-01-17,00006,4500926,3341,AFN,Deferred Costs,Principal,107351,51609,55742,Break
2023-01-13,00004,8484703,4136,ISO-4217,Principal,Principal,61829,119028,-57199,Break
2023-01-24,00006,9270140,4024,INR,Principal,Principal,94537,119508,-24971,Break
2023-01-21,00005,5991870,3281,INR,Principal,Principal,93406,58652,34754,Break
2023-01-24,00005,4172229,2132,ISO-4217,Deferred Costs,Principal,32247,117946,-85699,Break
2023-01-29,00002,9757543,1329,ISO-4217,Deferred Costs,Principal,71200,38618,32582,Break
2023-01-05,00004,5157638,4713,ALL,Principal,Principal,60332,73200,-12868,Break
2023-01-24,00006,7600658,1418,USD,Deferred Costs,Deferred Costs,83483,41033,42450,Break
2023-01-19,00005,5132829,3398,ALL,Principal,Deferred Costs,77945,33669,44276,Break
2023-01-11,00005,6908434,5434,AFN,Deferred Costs,Deferred Costs,30501,90724,-60223,Break
2023-01-16,00006,9269014,5158,INR,Principal,Deferred Costs,104598,78379,26219,Break
2023-01-04,00001,6104897,1116,ALL,Principal,Principal,90511,97775,-7264,Break
2023-01-22,00003,3702236,3219,ALL,Principal,Principal,112847,30663,82184,Break
2023-01-06,00001,7480364,5055,INR,Principal,Principal,53221,94185,-40964,Break
2023-01-17,00006,1800463,6345,ALL,Deferred Costs,Deferred Costs,36182,47202,-11020,Break
2023-01-02,00002,5558210,3571,USD,Principal,Principal,84395,97786,-13391,Break
2023-01-18,00006,8758855,4463,ISO-4217,Principal,Deferred Costs,56454,49749,6705,Break
2023-01-24,00003,5610835,5524,EUR,Principal,Principal,78671,32548,46123,Break
2023-01-24,00001,8125402,1348,ALL,Deferred Costs,Principal,95131,61389,33742,Break
2023-01-04,00004,2041828,4294,ALL,Deferred Costs,Deferred Costs,59336,35734,23602,Break
2023-01-24,00002,2382210,4915,AFN,Principal,Principal,108302,51883,56419,Break
2023-01-05,00001,6843086,1642,ALL,Deferred Costs,Deferred Costs,103458,38225,65233,Break
2023-01-15,00002,8438277,6854,USD,Principal,Principal,73975,106962,-32987,Break
2023-01-14,00004,8132858,4427,ISO-4217,Principal,Principal,35805,34332,1473,Break
2023-01-12,00004,7124187,2259,AFN,Principal,Principal,111764,37711,74053,Break
2023-01-13,00002,4443419,5345,EUR,Deferred Costs,Principal,47587,106299,-58712,Break
2023-01-30,00004,8492567,5110,ISO-4217,Deferred Costs,Principal,51295,100429,-49134,Break
2023-01-17,00006,2040730,5555,USD,Deferred Costs,Principal,111489,82213,29276,Break
2023-01-23,00005,8199812,5087,EUR,Deferred Costs,Principal,33584,44886,-11302,Break
2023-01-01,00005,7143994,1868,INR,Deferred Costs,Deferred Costs,74458,97797,-23339,Break
2023-01-29,00005,2236035,6487,USD,Deferred Costs,Principal,81807,88135,-6328,Break
2023-01-04,00003,3481683,1546,INR,Principal,Deferred Costs,81258,79539,1719,Break
2023-01-27,00004,6154633,1613,ALL,Principal,Principal,47563,44741,2822,Break
2023-01-21,00006,5130271,2550,ALL,Principal,Principal,72901,89925,-17024,Break
2023-01-01,00001,7440973,6575,EUR,Principal,Principal,53222,93749,-40527,Break
2023-01-25,00005,5735868,2917,EUR,Principal,Principal,98297,75522,22775,Break
2023-01-29,00002,2177085,6459,ISO-4217,Principal,Deferred Costs,68617,59663,8954,Break
2023-01-28,00001,5513985,2614,INR,Deferred Costs,Deferred Costs,101877,90074,11803,Break
2023-01-25,00005,2408019,5776,INR,Deferred Costs,Deferred Costs,38231,104131,-65900,Break
2023-01-15,00003,9943872,4637,EUR,Principal,Deferred Costs,100118,89096,11022,Break
2023-01-18,00006,4450792,4628,USD,Principal,Deferred Costs,58542,66633,-8091,Break
2023-01-20,00004,4207584,1686,ISO-4217,Deferred Costs,Principal,118084,45366,72718,Break
2023-01-09,00003,5193348,2171,EUR,Deferred Costs,Principal,51994,59574,-7580,Break
2023-01-19,00001,4852275,4491,ISO-4217,Principal,Principal,33551,101085,-67534,Break
2023-01-04,00004,4394948,1283,INR,Principal,Principal,101668,47513,54155,Break
2023-01-01,00006,9764140,5599,AFN,Principal,Deferred Costs,54417,62544,-8127,Break
2023-01-05,00002,1723965,3011,ALL,Principal,Deferred Costs,111269,90303,20966,Break
2023-01-25,00003,5665580,4466,AFN,Deferred Costs,Principal,95953,90430,5523,Break
2023-01-11,00006,8697070,3235,ALL,Principal,Deferred Costs,58695,116057,-57362,Break
2023-01-15,00004,7394639,2117,USD,Principal,Principal,30081,109647,-79566,Break
2023-01-18,00003,1435142,3371,ALL,Deferred Costs,Deferred Costs,95757,52419,43338,Break
2023-01-09,00004,5956910,2249,ISO-4217,Principal,Deferred Costs,67212,53959,13253,Break
2023-01-25,00002,1921895,6454,INR,Deferred Costs,Principal,87831,63948,23883,Break
2023-01-11,00005,2904691,3262,AFN,Principal,Deferred Costs,111633,66399,45234,Break
2023-01-18,00001,5353238,2197,AFN,Principal,Principal,66503,73110,-6607,Break
2023-01-17,00001,6571764,3863,USD,Deferred Costs,Principal,42713,97922,-55209,Break
2023-01-04,00005,3096147,3076,ISO-4217,Principal,Deferred Costs,30180,111354,-81174,Break
2023-01-19,00002,1380411,5068,AFN,Principal,Principal,102740,41699,61041,Break
2023-01-08,00003,6926037,5656,INR,Principal,Deferred Costs,115866,85960,29906,Break
2023-01-06,00004,7368224,1015,ALL,Deferred Costs,Principal,105445,34223,71222,Break
2023-01-05,00006,6691973,1118,ALL,Deferred Costs,Principal,91542,105951,-14409,Break
2023-01-09,00001,6675031,2816,USD,Deferred Costs,Deferred Costs,68077,78743,-10666,Break
2023-01-17,00003,3788877,1373,ALL,Principal,Principal,76247,69036,7211,Break
2023-01-22,00005,9318883,4215,USD,Deferred Costs,Principal,60286,50022,10264,Break
2023-01-29,00006,1213738,1830,ALL,Deferred Costs,Deferred Costs,34305,49386,-15081,Break
2023-01-30,00002,3049308,2271,ALL,Deferred Costs,Principal,35374,99503,-64129,Break
2023-01-21,00003,3984982,3115,ISO-4217,Deferred Costs,Deferred Costs,62822,108119,-45297,Break
2023-01-18,00004,6009372,5317,INR,Deferred Costs,Principal,50119,89611,-39492,Break
2023-01-24,00004,5335879,4750,EUR,Principal,Deferred Costs,107959,81130,26829,Break
2023-01-01,00001,9853587,3426,USD,Deferred Costs,Principal,109014,61644,47370,Break
2023-01-11,00001,2245683,6125,EUR,Principal,Principal,68913,58833,10080,Break
2023-01-21,00005,4225085,4893,AFN,Deferred Costs,Principal,71867,57271,14596,Break
2023-01-21,00003,4073175,3176,INR,Principal,Principal,55657,107260,-51603,Break
2023-01-14,00001,7211840,2943,INR,Principal,Deferred Costs,69661,75377,-5716,Break
2023-01-07,00002,1743785,4144,USD,Principal,Principal,36665,118055,-81390,Break
2023-01-15,00001,8630159,4298,USD,Deferred Costs,Principal,107291,68442,38849,Break
2023-01-02,00004,8431489,2004,ISO-4217,Deferred Costs,Principal,39198,113998,-74800,Break
2023-01-16,00001,7879231,3223,ISO-4217,Principal,Deferred Costs,38268,48730,-10462,Break
2023-01-23,00002,6654967,2989,EUR,Deferred Costs,Principal,119893,91777,28116,Break
2023-01-10,00004,3487246,2655,ALL,Principal,Principal,107024,103205,3819,Break
2023-01-17,00003,1462932,6201,ALL,Principal,Principal,41909,108393,-66484,Break
2023-01-14,00006,5145895,1741,USD,Principal,Deferred Costs,99888,40551,59337,Break
2023-01-15,00004,1900802,2854,ALL,Deferred Costs,Principal,72600,95736,-23136,Break
2023-01-25,00005,5759553,4018,ALL,Principal,Principal,44274,92427,-48153,Break
2023-01-24,00005,7454155,6735,INR,Deferred Costs,Principal,58729,33056,25673,Break
2023-01-16,00003,2070119,2030,ALL,Principal,Deferred Costs,41067,43986,-2919,Break
2023-01-10,00003,7074737,4999,ISO-4217,Deferred Costs,Principal,77083,48973,28110,Break
2023-01-05,00005,3103616,1468,ISO-4217,Deferred Costs,Deferred Costs,94839,110724,-15885,Break
2023-01-27,00005,6129825,6119,ALL,Deferred Costs,Principal,48231,40094,8137,Break
2023-01-09,00002,3269039,6724,AFN,Principal,Deferred Costs,113935,113575,360,Break
2023-01-10,00001,1750468,5277,INR,Deferred Costs,Deferred Costs,98504,105046,-6542,Break
2023-01-10,00006,4032013,6454,AFN,Deferred Costs,Deferred Costs,88786,63849,24937,Break
2023-01-28,00001,4886127,1795,INR,Principal,Principal,41329,83728,-42399,Break
2023-01-20,00003,6257381,1268,USD,Principal,Deferred Costs,93826,30300,63526,Break
2023-01-07,00001,8048326,4371,AFN,Deferred Costs,Principal,85719,101608,-15889,Break
2023-01-21,00005,1668081,5844,ISO-4217,Deferred Costs,Principal,74427,96752,-22325,Break
2023-01-30,00004,5943759,2938,EUR,Principal,Deferred Costs,84078,54504,29574,Break
2023-01-11,00006,8512859,4579,INR,Deferred Costs,Principal,119474,89732,29742,Break
2023-01-24,00002,3687088,4420,ALL,Principal,Principal,113678,93821,19857,Break
2023-01-16,00006,6763909,4295,INR,Deferred Costs,Deferred Costs,37763,30371,7392,Break
2023-01-13,00006,9856282,1487,USD,Deferred Costs,Principal,77851,95646,-17795,Break
2023-01-13,00001,7179966,6077,ALL,Principal,Principal,98534,42047,56487,Break
2023-01-26,00002,3948870,6843,ALL,Principal,Deferred Costs,80783,45314,35469,Break
2023-01-04,00004,1201338,4536,AFN,Deferred Costs,Principal,89453,112511,-23058,Break
2023-01-04,00003,4948675,4668,ALL,Principal,Deferred Costs,70615,98720,-28105,Break
2023-01-16,00003,3975166,6709,EUR,Principal,Principal,66265,74077,-7812,Break
2023-01-29,00003,2166097,6671,INR,Deferred Costs,Deferred Costs,57266,63245,-5979,Break
2023-01-28,00004,2672387,4580,USD,Principal,Principal,98601,84682,13919,Break
2023-01-26,00001,2093886,6587,INR,Principal,Deferred Costs,31173,93125,-61952,Break
2023-01-12,00004,3601472,4032,ALL,Principal,Principal,118549,65717,52832,Break
2023-01-22,00002,3801345,5656,AFN,Principal,Principal,42206,99257,-57051,Break
2023-01-18,00004,3594960,6351,AFN,Deferred Costs,Deferred Costs,96332,90998,5334,Break
2023-01-07,00006,5081899,5894,INR,Principal,Principal,117330,78876,38454,Break
2023-01-14,00002,9109901,4167,USD,Deferred Costs,Principal,85049,110813,-25764,Break
2023-01-22,00005,5090410,1313,ALL,Principal,Principal,115159,112516,2643,Break
2023-01-08,00006,2075025,2254,ALL,Deferred Costs,Principal,89501,72540,16961,Break
2023-01-08,00001,1217157,1714,USD,Principal,Deferred Costs,97357,55255,42102,Break
2023-01-03,00003,4995420,3553,EUR,Principal,Principal,92948,68307,24641,Break
2023-01-11,00003,3885003,1584,AFN,Deferred Costs,Deferred Costs,56175,106191,-50016,Break
2023-01-06,00005,7450223,6517,ISO-4217,Deferred Costs,Principal,62450,60024,2426,Break
2023-01-10,00001,1407235,6968,AFN,Deferred Costs,Principal,105347,45565,59782,Break
2023-01-13,00001,9268614,4424,USD,Principal,Principal,98725,71867,26858,Break
2023-01-17,00003,7108922,4632,EUR,Deferred Costs,Deferred Costs,46072,85524,-39452,Break
2023-01-28,00004,6109547,5207,USD,Deferred Costs,Principal,32262,85356,-53094,Break
2023-01-04,00006,3344893,1020,AFN,Principal,Deferred Costs,92055,91628,427,Break
2023-01-28,00002,8824935,5830,ISO-4217,Deferred Costs,Deferred Costs,93690,106453,-12763,Break
2023-01-24,00004,3941142,5172,AFN,Principal,Deferred Costs,112394,87207,25187,Break
2023-01-15,00003,9121001,4540,EUR,Principal,Principal,107197,81262,25935,Break
2023-01-04,00002,6636965,3432,AFN,Principal,Principal,70830,74178,-3348,Break
2023-01-30,00004,3428927,4803,USD,Deferred Costs,Deferred Costs,45820,84976,-39156,Break
2023-01-20,00002,7991566,6708,USD,Principal,Principal,89128,45907,43221,Break
2023-01-13,00006,6611348,2823,AFN,Deferred Costs,Principal,89361,49215,40146,Break
2023-01-05,00004,3296429,1684,USD,Principal,Principal,66501,49065,17436,Break
2023-01-20,00004,1939921,4008,EUR,Deferred Costs,Deferred Costs,73875,43673,30202,Break
2023-01-20,00003,4030710,5505,EUR,Deferred Costs,Deferred Costs,47920,31091,16829,Break
2023-01-18,00004,7784597,2729,ALL,Deferred Costs,Deferred Costs,106900,48144,58756,Break
2023-01-25,00003,9945678,5080,ISO-4217,Deferred Costs,Principal,43611,59376,-15765,Break
2023-01-07,00004,4210605,4330,USD,Principal,Deferred Costs,71018,57053,13965,Break
2023-01-04,00006,4968226,4417,ALL,Deferred Costs,Deferred Costs,35789,83747,-47958,Break
2023-01-18,00005,2746088,3287,ISO-4217,Principal,Principal,78912,77273,1639,Break
2023-01-03,00006,7984071,4715,AFN,Principal,Deferred Costs,33522,73947,-40425,Break
2023-01-30,00004,3713044,6875,AFN,Principal,Principal,81181,68751,12430,Break
2023-01-15,00003,9839283,2340,AFN,Deferred Costs,Principal,31871,116083,-84212,Break
2023-01-03,00005,8752355,6981,EUR,Principal,Deferred Costs,118917,95569,23348,Break
2023-01-07,00004,5120970,4602,AFN,Deferred Costs,Principal,92118,119272,-27154,Break
2023-01-13,00001,6345900,5770,ISO-4217,Deferred Costs,Principal,38401,36107,2294,Break
2023-01-15,00005,4040546,4741,INR,Deferred Costs,Deferred Costs,107955,112766,-4811,Break
2023-01-06,00004,6749584,3421,AFN,Deferred Costs,Principal,106073,75543,30530,Break
2023-01-06,00004,6763836,1749,ISO-4217,Deferred Costs,Principal,62085,72201,-10116,Break
2023-01-14,00006,6403989,6671,USD,Deferred Costs,Deferred Costs,88530,114950,-26420,Break
2023-01-18,00001,6137174,2835,EUR,Deferred Costs,Principal,35785,34078,1707,Break
2023-01-27,00002,4551750,6846,EUR,Principal,Principal,73082,99426,-26344,Break
2023-01-01,00006,9818485,1970,AFN,Deferred Costs,Deferred Costs,110071,35505,74566,Break
2023-01-05,00006,7104034,3008,EUR,Deferred Costs,Principal,108433,65839,42594,Break
2023-01-24,00006,9151931,4378,ALL,Principal,Deferred Costs,67089,54066,13023,Break
2023-01-29,00004,8813008,4409,INR,Deferred Costs,Deferred Costs,93214,110777,-17563,Break
2023-01-25,00002,4544158,6813,USD,Deferred Costs,Principal,108551,81949,26602,Break
2023-01-24,00001,5199682,6104,AFN,Principal,Deferred Costs,40009,112173,-72164,Break
2023-01-15,00002,6982848,4154,ISO-4217,Principal,Deferred Costs,115949,83712,32237,Break
2023-01-11,00003,9672979,2598,ALL,Principal,Principal,98480,108441,-9961,Break
2023-01-08,00001,3151262,1965,ISO-4217,Deferred Costs,Deferred Costs,57550,50478,7072,Break
2023-01-18,00006,1194561,2200,ISO-4217,Deferred Costs,Principal,50710,52208,-1498,Break
2023-01-19,00001,1920381,5967,ALL,Deferred Costs,Principal,108197,89909,18288,Break
2023-01-15,00004,6528420,6040,INR,Deferred Costs,Principal,79034,80526,-1492,Break
2023-01-14,00004,9465621,4962,ISO-4217,Principal,Deferred Costs,110395,86387,24008,Break
2023-01-02,00001,4342649,1806,ISO-4217,Deferred Costs,Principal,48988,83212,-34224,Break
2023-01-22,00004,4574146,3145,ISO-4217,Principal,Deferred Costs,102293,31514,70779,Break
2023-01-25,00006,5312423,2091,AFN,Principal,Deferred Costs,52595,71576,-18981,Break
2023-01-02,00003,8779989,3342,AFN,Deferred Costs,Deferred Costs,95086,78977,16109,Break
2023-01-18,00005,4189254,1750,ISO-4217,Deferred Costs,Principal,36403,60194,-23791,Break
2023-01-20,00002,9876361,5947,ISO-4217,Principal,Deferred Costs,79168,109981,-30813,Break
2023-01-19,00006,5688235,6137,ALL,Principal,Deferred Costs,60025,35023,25002,Break
2023-01-13,00004,3694174,4123,INR,Deferred Costs,Deferred Costs,95023,88703,6320,Break
2023-01-03,00005,7117568,5542,ALL,Deferred Costs,Principal,39979,78226,-38247,Break
2023-01-22,00001,9629372,4084,AFN,Deferred Costs,Principal,64014,57573,6441,Break
2023-01-16,00002,3507699,2603,ISO-4217,Deferred Costs,Deferred Costs,34420,90401,-55981,Break
